range,surface_offset_mm,z_shift_mm,piece,rmse_mm,mae_mm,max_error_mm,points,winner
full,0.0,-0.3,Pawn,1.4999098665216788,1.2946746285314696,2.1784680291237795,232,0
full,0.0,-0.3,Bishop,0.2760348631864649,0.20993556132617622,1.3522483897085653,232,1
full,0.0,-0.3,Queen,0.31314757994934256,0.27415588060129736,1.3029999999999973,232,0
full,0.0,-0.25,Pawn,1.4723781580747801,1.2697955412150173,2.1580000000000013,233,0
full,0.0,-0.25,Bishop,0.2687243536009718,0.21503942627089312,1.4825848082566555,232,1
full,0.0,-0.25,Queen,0.31952862808139154,0.2894809120572223,1.1887130036794353,232,0
full,0.0,-0.2,Pawn,1.4433159657191978,1.2416096644605183,2.150468029123777,233,0
full,0.0,-0.2,Bishop,0.2622101928768074,0.22342562814088232,1.2292483897085678,233,1
full,0.0,-0.2,Queen,0.3288321820150854,0.30476246356595105,1.1209999999999987,233,0
full,0.0,-0.15000000000000002,Pawn,1.4158144338454537,1.2168756371927305,2.123000000000001,234,0
full,0.0,-0.15000000000000002,Bishop,0.26407701182620935,0.23271165411751188,1.3363348082566535,233,1
full,0.0,-0.15000000000000002,Queen,0.34214468325043446,0.32162547568324323,1.0067130036794367,233,0
full,0.0,-0.10000000000000003,Pawn,1.386712933470577,1.1888102129029954,2.115468029123777,234,0
full,0.0,-0.10000000000000003,Bishop,0.2684844463822748,0.24636122223363838,1.0829983897085604,234,1
full,0.0,-0.10000000000000003,Queen,0.3583096516151719,0.3379686068840449,0.8730000000000011,234,0
full,0.0,-0.050000000000000044,Pawn,1.3592778900568774,1.1642188812897831,2.085885000000001,235,0
full,0.0,-0.050000000000000044,Bishop,0.2791959980483373,0.26067704919486917,1.1543348082566602,234,1
full,0.0,-0.050000000000000044,Queen,0.3775048572506307,0.35475955484698957,0.8730000000000011,234,0
full,0.0,-5.551115123125783e-17,Pawn,1.3301736010230543,1.1362728843374506,2.0754680291237744,235,0
full,0.0,-5.551115123125783e-17,Bishop,0.2912986305292031,0.2779627161537502,0.9009983897085618,235,1
full,0.0,-5.551115123125783e-17,Queen,0.3980555143469181,0.37107937876964486,0.9587543790720616,235,0
full,0.0,0.04999999999999993,Pawn,1.3028394895666986,1.1118219284029618,2.050885000000001,236,0
full,0.0,0.04999999999999993,Bishop,0.3080995609147496,0.29454224657012595,0.9063348082566574,235,1
full,0.0,0.04999999999999993,Queen,0.42140160681326216,0.38779887589019435,1.1209999999999987,235,0
full,0.0,0.09999999999999992,Pawn,1.2738562992271587,1.0839943466919528,2.0284680291237773,236,0
full,0.0,0.09999999999999992,Bishop,0.3237485176455923,0.3095681788812012,0.6934754139678123,235,1
full,0.0,0.09999999999999992,Queen,0.4458530885120138,0.4050584623312356,1.1407543790720602,236,0
full,0.0,0.1499999999999999,Pawn,1.245521583344514,1.0577747720875927,2.0108849999999983,236,0
full,0.0,0.1499999999999999,Bishop,0.3435009296865994,0.3266700909336811,0.7315709999999971,235,1
full,0.0,0.1499999999999999,Queen,0.4721082269142749,0.423816772177691,1.3029999999999973,236,0
full,0.0,0.1999999999999999,Pawn,1.2168187180118384,1.0301264609105845,1.9744680291237753,236,0
full,0.0,0.1999999999999999,Bishop,0.3653617194280053,0.3432480526403418,0.8397254139678143,234,1
full,0.0,0.1999999999999999,Queen,0.49898568785117897,0.44379792869581497,1.3029999999999973,236,0
full,0.0,0.24999999999999983,Pawn,1.1885584215917857,1.0037670018786213,1.9638850000000012,236,0
full,0.0,0.24999999999999983,Bishop,0.3913259929919429,0.3666650440136767,0.8778209999999991,234,1
full,0.0,0.24999999999999983,Queen,0.5265805094993932,0.4645594244259267,1.4492499999999993,236,0
full,0.0,0.2999999999999999,Pawn,1.1599090296860433,0.9760161540806791,1.9124680291237777,236,0
full,0.0,0.2999999999999999,Bishop,0.4180166863818049,0.38738319320389647,0.9627254139678172,233,1
full,0.0,0.2999999999999999,Queen,0.5542453880006558,0.4861383299555664,1.4492499999999993,236,0
full,0.025,-0.3,Pawn,1.5145518602265324,1.3028642837038835,2.186659861303399,232,0
full,0.025,-0.3,Bishop,0.26117125436508076,0.19202834317942627,1.327248389708565,232,1
full,0.025,-0.3,Queen,0.2917420453927163,0.24952323107406085,1.277999999999997,232,0
full,0.025,-0.25,Pawn,1.4869971669558961,1.277833621907234,2.1435510536327023,233,0
full,0.025,-0.25,Bishop,0.2517975616046193,0.19502628276895909,1.4575848082566552,232,1
full,0.025,-0.25,Queen,0.29715950852977024,0.26469642929860127,1.163713003679435,232,0
full,0.025,-0.2,Pawn,1.4578712446769808,1.2495129348467846,2.125468029123777,233,0
full,0.025,-0.2,Bishop,0.24306979476437132,0.20214348495401951,1.2042483897085674,233,1
full,0.025,-0.2,Queen,0.30580627977611,0.27976246356595075,1.0959999999999983,233,0
full,0.025,-0.15000000000000002,Pawn,1.430344714970951,1.2245588542922454,2.0980000000000008,234,0
full,0.025,-0.15000000000000002,Bishop,0.24339886663558055,0.210225446941548,1.3113348082566532,233,1
full,0.025,-0.15000000000000002,Queen,0.31875807517987326,0.2966254756832429,0.9817130036794364,233,0
full,0.025,-0.10000000000000003,Pawn,1.4011770526302758,1.1963591958089785,2.0904680291237767,234,0
full,0.025,-0.10000000000000003,Bishop,0.24643703371997783,0.22309463520552797,1.05799838970856,234,1
full,0.025,-0.10000000000000003,Queen,0.3348318624270745,0.31296860688404454,0.8480000000000008,234,0
full,0.025,-0.050000000000000044,Pawn,1.373714346909224,1.171550254912279,2.0608850000000007,235,0
full,0.025,-0.050000000000000044,Bishop,0.25647384607554896,0.2364886037454035,1.1293348082566599,234,1
full,0.025,-0.050000000000000044,Queen,0.3541143028818087,0.32975955484698927,0.8480000000000008,234,0
full,0.025,-5.551115123125783e-17,Pawn,1.3445407399968408,1.1434705949757487,2.050468029123774,235,0
full,0.025,-5.551115123125783e-17,Bishop,0.26800322359500295,0.2536010140260903,0.8759983897085615,235,1
full,0.025,-5.551115123125783e-17,Queen,0.37485893822010835,0.34607937876964456,0.9337543790720613,235,0
full,0.025,0.04999999999999993,Pawn,1.3171755684788844,1.1188044402728194,2.0258850000000006,236,0
full,0.025,0.04999999999999993,Bishop,0.2847468604183747,0.2701805444424661,0.881334808256657,235,1
full,0.025,0.04999999999999993,Queen,0.3985152072760702,0.36279887589019405,1.0959999999999983,235,0
full,0.025,0.09999999999999992,Pawn,1.2881180972288706,1.09084376194619,2.003468029123777,236,0
full,0.025,0.09999999999999992,Bishop,0.30016715570755864,0.28520647675354127,0.668475413967812,235,1
full,0.025,0.09999999999999992,Queen,0.4233263244320248,0.380270326738015,1.1157543790720599,236,0
full,0.025,0.1499999999999999,Pawn,1.2596928757969799,1.0643335551438913,1.985884999999998,236,0
full,0.025,0.1499999999999999,Bishop,0.3201010883401388,0.3023578265181426,0.7065709999999967,235,1
full,0.025,0.1499999999999999,Queen,0.4499710499041893,0.39924050099124986,1.277999999999997,236,0
full,0.025,0.1999999999999999,Pawn,1.2309089490626024,1.0365521473512627,1.949468029123775,236,0
full,0.025,0.1999999999999999,Bishop,0.3422291772833181,0.3191478307122464,0.814725413967814,234,1
full,0.025,0.1999999999999999,Queen,0.4772263758199996,0.4196453863229334,1.277999999999997,236,0
full,0.025,0.24999999999999983,Pawn,1.2025536194143522,1.0099020561213605,1.9388850000000009,236,0
full,0.025,0.24999999999999983,Bishop,0.368722801542648,0.3433744457230781,0.8528209999999987,234,1
full,0.025,0.24999999999999983,Queen,0.5051934703360689,0.44078334730251617,1.424249999999999,236,0
