piece,rmse_mm,mae_mm,max_error_mm,comparison_points
Bishop,0.10398677434861928,0.056991978371578524,0.6509983897085618,235
Queen,0.18817147264441303,0.12121259619987058,0.7087543790720616,235
Pawn,1.4865704609552701,1.2178104668571819,2.2046598613033943,235
