line,z,x1,y1,z1,x2,y2,z2,e1,e2,delta_e,xy_distance,xyz_distance
74,0.35,70.691,41.229,0.35,77.271,47.809,0.35,44.76212,47.39078,2.6286599999999964,9.305525240414964,9.305525240414964
75,0.35,77.271,47.809,0.35,77.271,48.705,0.35,47.39078,47.644,0.2532199999999989,0.8960000000000008,0.8960000000000008
76,0.35,77.271,48.705,0.35,69.795,41.229,0.35,47.644,50.63078,2.986780000000003,10.572660592301258,10.572660592301258
77,0.35,69.795,41.229,0.35,68.898,41.229,0.35,50.63078,50.884,0.2532199999999989,0.8970000000000056,0.8970000000000056
78,0.35,68.898,41.229,0.35,77.271,49.602,0.35,50.884,54.22888,3.3448799999999963,11.841210157749927,11.841210157749925
79,0.35,77.271,49.602,0.35,77.271,50.498,0.35,54.22888,54.48211,0.25323000000000206,0.8960000000000008,0.8960000000000008
80,0.35,77.271,50.498,0.35,68.002,41.229,0.35,54.48211,58.1851,3.70299,13.108345509636221,13.108345509636221
81,0.35,68.002,41.229,0.35,67.106,41.229,0.35,58.1851,58.43832,0.2532199999999989,0.8960000000000008,0.8960000000000008
82,0.35,67.106,41.229,0.35,77.271,51.394,0.35,58.43832,62.49943,4.061109999999999,14.375480861522515,14.375480861522515
83,0.35,77.271,51.394,0.35,77.271,52.291,0.35,62.49943,62.75265,0.253220000000006,0.8969999999999985,0.8969999999999985
84,0.35,77.271,52.291,0.35,66.209,41.229,0.35,62.75265,67.17187,4.419219999999996,15.644030426971174,15.644030426971174
85,0.35,66.209,41.229,0.35,65.313,41.229,0.35,67.17187,67.42509,0.2532199999999989,0.8960000000000008,0.8960000000000008
86,0.35,65.313,41.229,0.35,77.271,53.187,0.35,67.42509,72.20242,4.777330000000006,16.91116577885747,16.91116577885747
87,0.35,77.271,53.187,0.35,77.271,54.084,0.35,72.20242,72.45564,0.2532199999999989,0.8970000000000056,0.8970000000000056
88,0.35,77.271,54.084,0.35,64.416,41.229,0.35,72.45564,77.59108,5.135440000000003,18.179715344306143,18.179715344306143
89,0.35,64.416,41.229,0.35,63.52,41.229,0.35,77.59108,77.8443,0.2532199999999989,0.8959999999999937,0.8959999999999937
90,0.35,63.52,41.229,0.35,77.271,54.98,0.35,77.8443,83.33785,5.493549999999999,19.446850696192428,19.446850696192428
91,0.35,77.271,54.98,0.35,77.271,55.877,0.35,83.33785,83.59107,0.2532199999999989,0.8970000000000056,0.8970000000000056
92,0.35,77.271,55.877,0.35,62.623,41.229,0.35,83.59107,89.44273,5.851659999999995,20.7154002616411,20.7154002616411
93,0.35,62.623,41.229,0.35,61.727,41.229,0.35,89.44273,89.69595,0.2532199999999989,0.8960000000000008,0.8960000000000008
94,0.35,61.727,41.229,0.35,77.271,56.773,0.35,89.69595,95.90572,6.209770000000006,21.982535613527396,21.982535613527396
95,0.35,77.271,56.773,0.35,77.271,57.67,0.35,95.90572,96.15894,0.2532199999999989,0.8969999999999985,0.8969999999999985
96,0.35,77.271,57.67,0.35,60.83,41.229,0.35,96.15894,102.72682,6.567880000000002,23.25108517897606,23.25108517897606
97,0.35,60.83,41.229,0.35,59.934,41.229,0.35,102.72682,102.98004,0.2532199999999989,0.8960000000000008,0.8960000000000008
98,0.35,59.934,41.229,0.35,77.271,58.566,0.35,102.98004,109.90603,6.925989999999999,24.518220530862354,24.518220530862354
99,0.35,77.271,58.566,0.35,77.271,59.462,0.35,109.90603,110.15925,0.2532199999999989,0.8960000000000008,0.8960000000000008
100,0.35,77.271,59.462,0.35,59.038,41.229,0.35,110.15925,117.44335,7.284099999999995,25.785355882748647,25.785355882748647
101,0.35,59.038,41.229,0.35,58.141,41.229,0.35,117.44335,117.69657,0.2532199999999989,0.8969999999999985,0.8969999999999985
102,0.35,58.141,41.229,0.35,77.271,60.359,0.35,117.69657,125.33878,7.642210000000006,27.053905448197312,27.053905448197312
103,0.35,77.271,60.359,0.35,77.271,61.255,0.35,125.33878,125.59201,0.25323000000000206,0.8960000000000008,0.8960000000000008
104,0.35,77.271,61.255,0.35,57.245,41.229,0.35,125.59201,133.59233,8.000320000000002,28.321040800083605,28.321040800083605
105,0.35,57.245,41.229,0.35,56.348,41.229,0.35,133.59233,133.84555,0.2532199999999989,0.8969999999999985,0.8969999999999985
106,0.35,56.348,41.229,0.35,77.271,62.152,0.35,133.84555,142.20398,8.358429999999998,29.58959036553227,29.58959036553227
107,0.35,77.271,62.152,0.35,77.271,63.048,0.35,142.20398,142.4572,0.2532199999999989,0.8960000000000008,0.8960000000000008
108,0.35,77.271,63.048,0.35,55.452,41.229,0.35,142.4572,151.17375,8.716550000000012,30.856725717418566,30.856725717418563
109,0.35,55.452,41.229,0.35,54.555,41.229,0.35,151.17375,151.42697,0.2532199999999989,0.8969999999999985,0.8969999999999985
110,0.35,54.555,41.229,0.35,77.271,63.945,0.35,151.42697,160.50162,9.074649999999991,32.12527528286723,32.12527528286723
111,0.35,77.271,63.945,0.35,77.271,64.841,0.35,160.50162,160.75484,0.2532199999999989,0.8959999999999937,0.8959999999999937
112,0.35,77.271,64.841,0.35,53.659,41.229,0.35,160.75484,170.18761,9.432770000000005,33.39241063475352,33.39241063475352
113,0.35,53.659,41.229,0.35,52.763,41.229,0.35,170.18761,170.44083,0.2532199999999989,0.8960000000000008,0.8960000000000008
114,0.35,52.763,41.229,0.35,77.271,65.737,0.35,170.44083,180.2317,9.790869999999984,34.65954598663981,34.65954598663981
115,0.35,77.271,65.737,0.35,77.271,66.634,0.35,180.2317,180.48492,0.2532199999999989,0.8970000000000056,0.8970000000000056
116,0.35,77.271,66.634,0.35,51.866,41.229,0.35,180.48492,190.63391,10.148989999999998,35.92809555208848,35.92809555208848
117,0.35,51.866,41.229,0.35,50.97,41.229,0.35,190.63391,190.88713,0.2532200000000273,0.8960000000000008,0.8960000000000008
118,0.35,50.97,41.229,0.35,77.271,67.53,0.35,190.88713,201.39422,10.507089999999977,37.195230903974775,37.195230903974775
119,0.35,77.271,67.53,0.35,77.271,68.427,0.35,201.39422,201.64745,0.25323000000000206,0.8970000000000056,0.8970000000000056
120,0.35,77.271,68.427,0.35,50.073,41.229,0.35,201.64745,212.51265,10.865200000000016,38.46378046942345,38.46378046942344
121,0.35,50.073,41.229,0.35,49.177,41.229,0.35,212.51265,212.76588,0.25323000000000206,0.8960000000000008,0.8960000000000008
122,0.35,49.177,41.229,0.35,77.271,69.323,0.35,212.76588,223.98919,11.223309999999998,39.73091582130973,39.73091582130973
123,0.35,77.271,69.323,0.35,76.823,69.771,0.35,223.98919,224.16825,0.17905999999999267,0.6335676759431572,0.6335676759431572
124,0.35,76.823,69.771,0.35,48.729,41.677,0.35,224.16825,235.39155,11.223299999999995,39.73091582130973,39.73091582130973
125,0.35,48.729,41.677,0.35,48.729,42.573,0.35,235.39155,235.64477,0.2532199999999989,0.8960000000000008,0.8960000000000008
126,0.35,48.729,42.573,0.35,75.927,69.771,0.35,235.64477,246.50996,10.865190000000013,38.46378046942345,38.46378046942344
127,0.35,75.927,69.771,0.35,75.03,69.771,0.35,246.50996,246.76318,0.2532199999999989,0.8970000000000056,0.8970000000000056
128,0.35,75.03,69.771,0.35,48.729,43.47,0.35,246.76318,257.27027,10.507089999999977,37.195230903974775,37.195230903974775
129,0.35,48.729,43.47,0.35,48.729,44.366,0.35,257.27027,257.52349,0.2532199999999989,0.8960000000000008,0.8960000000000008
130,0.35,48.729,44.366,0.35,74.134,69.771,0.35,257.52349,267.67246,10.14897000000002,35.92809555208848,35.92809555208848
131,0.35,74.134,69.771,0.35,73.237,69.771,0.35,267.67246,267.92568,0.2532199999999989,0.8970000000000056,0.8970000000000056
132,0.35,73.237,69.771,0.35,48.729,45.263,0.35,267.92568,277.71654,9.79086000000001,34.65954598663981,34.65954598663981
133,0.35,48.729,45.263,0.35,48.729,46.159,0.35,277.71654,277.96976,0.2532199999999989,0.8960000000000008,0.8960000000000008
134,0.35,48.729,46.159,0.35,72.341,69.771,0.35,277.96976,287.40251,9.432749999999999,33.39241063475352,33.39241063475352
135,0.35,72.341,69.771,0.35,71.445,69.771,0.35,287.40251,287.65574,0.25322999999997364,0.8960000000000008,0.8960000000000008
136,0.35,71.445,69.771,0.35,48.729,47.055,0.35,287.65574,296.73038,9.074640000000045,32.12527528286722,32.12527528286722
137,0.35,48.729,47.055,0.35,48.729,47.952,0.35,296.73038,296.9836,0.2532199999999989,0.8969999999999985,0.8969999999999985
138,0.35,48.729,47.952,0.35,70.548,69.771,0.35,296.9836,305.70013,8.716529999999977,30.856725717418566,30.856725717418563
139,0.35,70.548,69.771,0.35,69.652,69.771,0.35,305.70013,305.95335,0.2532199999999989,0.8960000000000008,0.8960000000000008
140,0.35,69.652,69.771,0.35,48.729,48.848,0.35,305.95335,314.31177,8.358420000000024,29.58959036553227,29.58959036553227
141,0.35,48.729,48.848,0.35,48.729,49.745,0.35,314.31177,314.56499,0.2532199999999989,0.8969999999999985,0.8969999999999985
142,0.35,48.729,49.745,0.35,68.755,69.771,0.35,314.56499,322.5653,8.000309999999956,28.3210408000836,28.3210408000836
143,0.35,68.755,69.771,0.35,67.859,69.771,0.35,322.5653,322.81852,0.2532199999999989,0.8960000000000008,0.8960000000000008
144,0.35,67.859,69.771,0.35,48.729,50.641,0.35,322.81852,330.46072,7.6422000000000025,27.053905448197305,27.053905448197305
145,0.35,48.729,50.641,0.35,48.729,51.538,0.35,330.46072,330.71394,0.2532199999999989,0.8969999999999985,0.8969999999999985
146,0.35,48.729,51.538,0.35,66.962,69.771,0.35,330.71394,337.99803,7.284090000000049,25.785355882748647,25.785355882748647
147,0.35,66.962,69.771,0.35,66.066,69.771,0.35,337.99803,338.25125,0.2532199999999989,0.8960000000000008,0.8960000000000008
148,0.35,66.066,69.771,0.35,48.729,52.434,0.35,338.25125,345.17722,6.92596999999995,24.518220530862354,24.518220530862354
149,0.35,48.729,52.434,0.35,48.729,53.33,0.35,345.17722,345.43045,0.2532300000000305,0.8960000000000008,0.8960000000000008
150,0.35,48.729,53.33,0.35,65.17,69.771,0.35,345.43045,351.99831,6.567859999999996,23.25108517897606,23.25108517897606
151,0.35,65.17,69.771,0.35,64.273,69.771,0.35,351.99831,352.25153,0.2532199999999989,0.8970000000000056,0.8970000000000056
152,0.35,64.273,69.771,0.35,48.729,54.227,0.35,352.25153,358.46129,6.209760000000017,21.98253561352739,21.98253561352739
153,0.35,48.729,54.227,0.35,48.729,55.123,0.35,358.46129,358.71451,0.2532199999999989,0.8960000000000008,0.8960000000000008
154,0.35,48.729,55.123,0.35,63.377,69.771,0.35,358.71451,364.56616,5.8516500000000065,20.7154002616411,20.7154002616411
155,0.35,63.377,69.771,0.35,62.48,69.771,0.35,364.56616,364.81938,0.2532199999999989,0.8970000000000056,0.8970000000000056
156,0.35,62.48,69.771,0.35,48.729,56.02,0.35,364.81938,370.31291,5.493529999999964,19.446850696192428,19.446850696192428
157,0.35,48.729,56.02,0.35,48.729,56.916,0.35,370.31291,370.56613,0.2532199999999989,0.8959999999999937,0.8959999999999937
158,0.35,48.729,56.916,0.35,61.584,69.771,0.35,370.56613,375.70156,5.135429999999985,18.179715344306143,18.179715344306143
159,0.35,61.584,69.771,0.35,60.687,69.771,0.35,375.70156,375.95478,0.25322000000005573,0.8970000000000056,0.8970000000000056
160,0.35,60.687,69.771,0.35,48.729,57.813,0.35,375.95478,380.73209,4.77731,16.91116577885747,16.91116577885747
161,0.35,48.729,57.813,0.35,48.729,58.709,0.35,380.73209,380.98532,0.25322999999997364,0.8960000000000008,0.8960000000000008
162,0.35,48.729,58.709,0.35,59.791,69.771,0.35,380.98532,385.40452,4.419199999999989,15.644030426971174,15.644030426971174
163,0.35,59.791,69.771,0.35,58.894,69.771,0.35,385.40452,385.65774,0.2532199999999989,0.8969999999999985,0.8969999999999985
164,0.35,58.894,69.771,0.35,48.729,59.606,0.35,385.65774,389.71883,4.061090000000036,14.37548086152251,14.37548086152251
165,0.35,48.729,59.606,0.35,48.729,60.502,0.35,389.71883,389.97205,0.2532199999999989,0.8960000000000008,0.8960000000000008
166,0.35,48.729,60.502,0.35,57.998,69.771,0.35,389.97205,393.67503,3.702979999999968,13.108345509636216,13.108345509636216
167,0.35,57.998,69.771,0.35,57.102,69.771,0.35,393.67503,393.92826,0.2532300000000305,0.8960000000000008,0.8960000000000008
168,0.35,57.102,69.771,0.35,48.729,61.398,0.35,393.92826,397.27313,3.3448699999999576,11.841210157749922,11.841210157749922
169,0.35,48.729,61.398,0.35,48.729,62.295,0.35,397.27313,397.52635,0.2532199999999989,0.8969999999999985,0.8969999999999985
170,0.35,48.729,62.295,0.35,56.205,69.771,0.35,397.52635,400.51311,2.986760000000004,10.572660592301258,10.572660592301258
171,0.35,56.205,69.771,0.35,55.309,69.771,0.35,400.51311,400.76633,0.2532199999999989,0.8960000000000008,0.8960000000000008
172,0.35,55.309,69.771,0.35,48.729,63.191,0.35,400.76633,403.39498,2.6286499999999933,9.305525240414964,9.305525240414964
173,0.35,48.729,63.191,0.35,48.729,64.088,0.35,403.39498,403.6482,0.2532199999999989,0.8969999999999914,0.8969999999999914
174,0.35,48.729,64.088,0.35,54.412,69.771,0.35,403.6482,405.91874,2.2705400000000395,8.036975674966303,8.036975674966303
175,0.35,54.412,69.771,0.35,53.516,69.771,0.35,405.91874,406.17196,0.2532199999999989,0.8960000000000008,0.8960000000000008
176,0.35,53.516,69.771,0.35,48.729,64.984,0.35,406.17196,408.08439,1.912429999999972,6.769840323080009,6.76984032308001
177,0.35,48.729,64.984,0.35,48.729,65.881,0.35,408.08439,408.33762,0.2532300000000305,0.8970000000000056,0.8970000000000056
178,0.35,48.729,65.881,0.35,52.619,69.771,0.35,408.33762,409.89193,1.5543099999999868,5.501290757631341,5.501290757631341
179,0.35,52.619,69.771,0.35,51.723,69.771,0.35,409.89193,410.14516,0.25322999999997364,0.8960000000000008,0.8960000000000008
180,0.35,51.723,69.771,0.35,48.729,66.777,0.35,410.14516,411.34136,1.196200000000033,4.234155405745046,4.234155405745046
